Bawang Merah,Bawang Putih Honan,Bawang Putih Kating,Beras Medium,Beras Premium,Cabe Merah Besar,Cabe Merah Keriting,Cabe Rawit Merah,Daging Ayam Ras,Daging Sapi Paha Belakang,Gula Pasir,Kedelai Impor,Minyak Goreng Curah,Minyak Goreng Kemasan,Minyak Goreng Kemasan Sederhana,Telur Ayam Ras,Tepung Terigu,date
33968.66265294117,41038.11783235294,29233.5966241342,10507.912667857143,12380.317125757574,30878.86835483871,30746.596905882358,60022.25821212121,30713.84025588235,114960.01342352942,13793.136099999996,10888.95558181818,11942.300944117647,15000.121493749999,12504.967606129809,22742.851458823534,8866.09769117647,2017-04-01
30960.737617647057,51947.415738235286,29233.5966241342,10502.517825,12380.317125757574,31170.171103333338,29866.166667647063,51304.81240303029,31732.435094117645,115524.99056176469,13656.417417647059,10861.953884375002,11921.484608823532,15029.149403125002,12504.967606129809,24193.479682352947,8781.109114705885,2017-05-01
32470.267938235294,44749.48278529413,29233.5966241342,10509.834503571428,12380.317125757574,28647.499593333334,28418.94476470588,45012.88766562499,31823.67982941177,117667.02238823532,13487.263608823532,10807.310746875,11871.492220588234,15071.614559374999,12504.967606129809,23889.04093529412,8723.511476470587,2017-06-01
36234.74499411765,34273.77117352941,30674.4791625,10524.502457142857,12380.317125757574,28655.393626666668,30060.213188235295,48850.57337096775,31944.288291176465,117062.51049705881,13383.86256470588,10855.614440625002,11837.344047058825,15082.304299999998,23116.66666,24369.68877352941,8664.549817647057,2017-07-01
30232.33717647058,29812.798391176475,31680.630325806454,10550.61537142857,12380.317125757574,29127.255251724142,29796.127908823524,41479.73791290323,33000.23472352941,117324.64821470587,13330.311594117647,10817.697049999999,11765.896394117646,15149.771593939397,15873.981817241378,23958.762385294118,8951.874473529413,2017-08-01
26808.67502352941,26782.637908823534,28300.488008,10556.632575,12380.317125757574,29603.651082758624,30213.473576470595,35186.322771875006,31601.31830294118,116785.31496764708,13119.858064705882,10832.1983125,11771.85094117647,15188.20616060606,12343.439066666666,23085.907900000002,9025.812414705882,2017-09-01
23498.79161176471,23937.700714705883,25910.27751363637,10605.767846428573,12380.317125757574,29140.861131034482,31605.00957647059,30999.27579354839,30364.918967647056,116731.90765882353,12924.726494117644,10869.442462499996,11822.266173529413,15101.832912121212,12620.98962857143,22796.315273529413,9019.738288235294,2017-10-01
24817.143608823528,22932.91743529412,24448.42735652174,10678.561075000001,12380.317125757574,30392.25671333334,32072.27398529412,32642.22094374999,30823.04302941176,116778.94520000003,12802.812285294116,10813.40183125,11874.056970588235,15077.835515151515,12505.991215384614,22918.669526470592,9030.138888235291,2017-11-01
25429.273576470594,23218.148470588243,24522.440462500002,10781.215207142855,12380.317125757574,34290.29332999999,34578.40495882353,36905.5447,32535.99810588235,117191.08395588234,12769.957370588234,10843.246128125,11846.030861764708,15100.130299999999,12515.764757142859,25183.542750000004,9065.534844117648,2017-12-01
35249.73903235295,29291.6033617647,29233.5966241342,10880.689289285712,12380.317125757574,33823.55729,32904.44383125,40621.95025862068,33999.1183382353,110817.93165588235,13050.739994117648,11122.127199999999,10409.785784848482,15053.88914375,12504.967606129809,25537.332408823528,9066.80624705882,2016-01-01
30864.918805882357,30691.56520000001,29233.5966241342,10989.333917857144,12380.317125757574,36577.24925862069,32709.159418749994,33742.446589285726,31857.715182352942,112701.45363823528,13090.209570588238,11056.777736666667,10510.973369696972,14926.996715625,12504.967606129809,24504.589626470584,9070.099694117647,2016-02-01
37937.278014705895,33832.27776764705,29233.5966241342,10911.422807142857,12380.317125757574,46347.56831935484,45530.248656250005,47500.3005060606,30370.97145882353,112484.40675294118,13023.3375,11124.424465625001,10907.300220588237,14848.523659375001,12504.967606129809,23289.625455882353,8984.080882352937,2016-03-01
42805.14209411765,36621.94843529413,29233.5966241342,10699.358099999998,12380.317125757574,32956.08341290322,33292.484821875,35320.188954545454,29559.052585294114,112056.16600882355,13152.540408823532,11037.193659375,11259.574470588233,14878.3419875,12504.967606129809,22452.59195,8999.559514705881,2016-04-01
42438.413917647056,36724.50346176472,29233.5966241342,10564.82907857143,12380.317125757574,31198.615222580644,31470.343484374996,34168.340299999996,30982.06462352941,112218.45949411766,14600.974582352937,11108.970148484845,11635.033441176474,14962.838012121214,12504.967606129809,23026.477629411773,8911.552902941174,2016-05-01
37826.8566,37097.89273235295,29233.5966241342,10549.77939642857,12380.317125757574,31485.312012903232,31564.94775757576,34254.00031612903,32893.85025000001,114499.77586176472,15810.381314705883,10977.03867272727,11811.163835294117,14956.784475757573,12504.967606129809,24472.955008823526,8912.675211764707,2016-06-01
42073.05587352941,37344.84859411765,29233.5966241342,10524.198310714286,12380.317125757574,33362.00930333333,33820.587978125004,38658.36251935484,33792.72230294118,115794.35441764703,16141.63595882353,11057.081951515152,11674.472776470588,14912.06314375,12504.967606129809,24280.33027352941,8965.03720882353,2016-07-01
41040.57434411763,36092.56725000001,29233.5966241342,10526.619585714285,12380.317125757574,32413.095909999993,33847.31304375,42513.817638709676,32949.65333235294,113893.5008088235,15647.02071176471,10944.127281818179,11630.462505882353,14904.675757575755,12504.967606129809,24049.585820588236,8880.146173529412,2016-08-01
40477.50685,36416.474741176484,29233.5966241342,10551.361085714287,12380.317125757574,37457.63539666667,38265.098334375,36934.021593749996,31679.937608823537,114121.17157058825,14936.302047058822,10878.13005151515,11903.897194117646,14956.776057575757,12504.967606129809,23469.31629117647,8865.581458823528,2016-09-01
36390.90925588236,36224.453805882345,29233.5966241342,10569.02838214286,12380.317125757574,43215.41647999999,42550.171215151524,36137.63089032259,30878.327058823532,113093.69908529412,14503.459370588234,10274.182924242425,11685.973097058823,14969.92501212121,12504.967606129809,22919.98841470588,8868.806008823529,2016-10-01
41273.790426470594,37536.09418235294,29233.5966241342,10566.549567857142,12380.317125757574,52679.97247333333,52123.403254545454,47433.70393225807,30580.101452941184,113425.47832352942,14286.248788235293,10219.682478787878,11437.74579117647,14953.704015151514,12504.967606129809,22401.103473529416,8891.899497058823,2016-11-01
40066.643149999996,38537.325249999994,29233.5966241342,10575.207349999995,12380.317125757574,44806.71867000001,45082.68431818182,51447.01404999999,31524.11266470588,114144.68736470587,14182.048894117643,10236.837645454545,11444.050485294114,14476.43365757576,12504.967606129809,23488.017417647057,8856.638900000002,2016-12-01
